VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-03-01 00:22:02,2021-03-01 00:23:22,1,.00,1,N,264,264,2,3,0.5,0.5,0,0,0.3,4.3,0
2,2021-03-01 00:24:48,2021-03-01 00:24:56,1,.00,1,N,152,152,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2021-03-01 00:25:17,2021-03-01 00:31:01,1,.00,1,N,152,152,2,3.5,0.5,0.5,0,0,0.3,4.8,0
1,2021-03-01 00:07:40,2021-03-01 00:31:23,0,16.50,4,N,138,265,1,51,0.5,0.5,11.65,6.12,0.3,70.07,0
2,2021-03-01 00:02:13,2021-03-01 00:06:01,1,1.13,1,N,68,264,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,2021-03-01 00:40:16,2021-03-01 00:50:23,1,2.68,1,N,239,262,1,10.5,0.5,0.5,4.29,0,0.3,18.59,2.5
1,2021-03-01 00:04:00,2021-03-01 00:44:20,1,12.40,1,N,186,91,1,40,3,0.5,0,0,0.3,43.8,2.5
1,2021-03-01 00:49:21,2021-03-01 01:06:57,2,9.70,4,N,132,265,2,31,0.5,0.5,0,0,0.3,32.3,0
1,2021-03-01 00:13:15,2021-03-01 00:30:08,1,9.30,1,N,138,141,1,26.5,3,0.5,7.25,6.12,0.3,43.67,2.5
2,2021-03-01 00:09:06,2021-03-01 00:31:07,1,9.58,1,N,138,50,1,28.5,0.5,0.5,7.68,6.12,0.3,46.1,2.5
1,2021-03-01 00:04:12,2021-03-01 00:30:34,1,16.20,1,N,132,123,2,44,0.5,0.5,0,0,0.3,45.3,0
2,2021-03-01 00:10:22,2021-03-01 00:24:57,1,3.58,1,N,140,7,1,13.5,0.5,0.5,2,0,0.3,19.3,2.5
2,2021-03-01 00:10:39,2021-03-01 00:16:38,1,.91,1,N,239,238,1,6,0.5,0.5,5,0,0.3,14.8,2.5
2,2021-03-01 00:04:14,2021-03-01 00:17:49,2,2.57,1,N,116,41,2,11.5,0.5,0.5,0,0,0.3,12.8,0
2,2021-03-01 00:07:37,2021-03-01 00:10:32,1,.40,1,N,74,41,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2021-03-01 00:38:15,2021-03-01 00:53:26,1,3.26,1,N,239,144,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5
2,2021-03-01 00:29:00,2021-03-01 00:50:22,1,13.41,1,N,132,91,1,36.5,0.5,0.5,9.45,0,0.3,47.25,0
2,2021-03-01 00:11:56,2021-03-01 00:18:22,5,2.35,1,N,239,50,2,9,0.5,0.5,0,0,0.3,12.8,2.5
1,2021-03-01 00:24:16,2021-03-01 00:54:37,2,18.30,2,N,132,230,1,52,2.5,0.5,0,6.12,0.3,61.42,2.5
2,2021-03-01 00:18:05,2021-03-01 00:26:24,1,1.53,1,N,229,48,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2021-03-01 00:28:28,2021-03-01 00:35:08,1,2.00,1,N,48,68,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,2021-03-01 00:16:47,2021-03-01 00:40:50,2,16.60,1,N,132,255,1,44.5,0.5,0.5,9.16,0,0.3,54.96,0
1,2021-03-01 00:55:22,2021-03-01 01:15:35,1,15.50,1,N,132,145,1,42,0.5,0.5,12.95,0,0.3,56.25,0
1,2021-03-01 00:26:16,2021-03-01 00:45:12,2,1.30,1,N,79,164,2,13,3,0.5,0,0,0.3,16.8,2.5
